event_id,ticket,position_id,event_type,action,symbol,lots,open_price,close_price,sl,tp,commission,swap,pips,profit,comment,magic_number,duration_sec,account_id,account_label,account_currency,open_time_xm,close_time_xm,open_time_vn,close_time_vn,trade_date_xm,trade_date_vn,usd_vnd_rate,profit_vnd,commission_vnd,swap_vnd,fx_rate_source,fx_rate_time_utc,source_system,etl_run_id,synced_at_utc,source_hash,is_deleted
400862814:206143446,193773808,193761307,trade,Buy,GOLD,0.03,,4120.29,,,0.0,0.0,,17.25,,0,,400862814,A_main_trade,USD,2026-07-23T10:04:31+02:00,2026-07-23T10:04:31+02:00,2026-07-23T15:04:31+07:00,2026-07-23T15:04:31+07:00,2026-07-23,2026-07-23,,,,,,,MT5,69d579f3-bc6b-4cd8-ad05-ebc3ecc8720d,2026-07-24T02:00:04Z,094ed5d02760c0c83684543aa305ffb5f589fa1f5cfdd99a608e70563f71301a,False
400862814:206143447,193773806,193762770,trade,Buy,GOLD,0.03,,4120.29,,,0.0,0.0,,24.57,,0,,400862814,A_main_trade,USD,2026-07-23T10:04:31+02:00,2026-07-23T10:04:31+02:00,2026-07-23T15:04:31+07:00,2026-07-23T15:04:31+07:00,2026-07-23,2026-07-23,,,,,,,MT5,69d579f3-bc6b-4cd8-ad05-ebc3ecc8720d,2026-07-24T02:00:04Z,7bade33bf4cba053fb0fefa24984965d2a816bf9532a9e8b1b79e6f99ccf7e37,False
400862814:206143448,193773812,193760538,trade,Buy,GOLD,0.03,,4120.29,,,0.0,0.0,,21.42,,0,,400862814,A_main_trade,USD,2026-07-23T10:04:31+02:00,2026-07-23T10:04:31+02:00,2026-07-23T15:04:31+07:00,2026-07-23T15:04:31+07:00,2026-07-23,2026-07-23,,,,,,,MT5,69d579f3-bc6b-4cd8-ad05-ebc3ecc8720d,2026-07-24T02:00:04Z,94237a6d03fa9035e206240dcd6c5bcb98f16d85f08d06159f148aa6f02bd1ca,False
400862814:206143449,193773805,193762772,trade,Buy,GOLD,0.03,,4120.29,,,0.0,0.0,,24.66,,0,,400862814,A_main_trade,USD,2026-07-23T10:04:31+02:00,2026-07-23T10:04:31+02:00,2026-07-23T15:04:31+07:00,2026-07-23T15:04:31+07:00,2026-07-23,2026-07-23,,,,,,,MT5,69d579f3-bc6b-4cd8-ad05-ebc3ecc8720d,2026-07-24T02:00:04Z,530e7e5ed9e7f79ddd49b3e14146afa39def5a9810c8f9934dcbed0006c4a15a,False
400862814:206143450,193773810,193760799,trade,Buy,GOLD,0.03,,4120.29,,,0.0,0.0,,17.85,,0,,400862814,A_main_trade,USD,2026-07-23T10:04:31+02:00,2026-07-23T10:04:31+02:00,2026-07-23T15:04:31+07:00,2026-07-23T15:04:31+07:00,2026-07-23,2026-07-23,,,,,,,MT5,69d579f3-bc6b-4cd8-ad05-ebc3ecc8720d,2026-07-24T02:00:04Z,6372766896addde136da6f999ae2d6ccffb5afa7448da4218a4e9b4c2d424c39,False
400862814:206143451,193773814,193760492,trade,Buy,GOLD,0.03,,4120.29,,,0.0,0.0,,21.48,,0,,400862814,A_main_trade,USD,2026-07-23T10:04:31+02:00,2026-07-23T10:04:31+02:00,2026-07-23T15:04:31+07:00,2026-07-23T15:04:31+07:00,2026-07-23,2026-07-23,,,,,,,MT5,69d579f3-bc6b-4cd8-ad05-ebc3ecc8720d,2026-07-24T02:00:04Z,572829603bd023a0c129de6f44c08db711f8337fd2bc42004b5f36f6c41e34a8,False
400862814:206143452,193773809,193761309,trade,Buy,GOLD,0.03,,4120.29,,,0.0,0.0,,16.47,,0,,400862814,A_main_trade,USD,2026-07-23T10:04:31+02:00,2026-07-23T10:04:31+02:00,2026-07-23T15:04:31+07:00,2026-07-23T15:04:31+07:00,2026-07-23,2026-07-23,,,,,,,MT5,69d579f3-bc6b-4cd8-ad05-ebc3ecc8720d,2026-07-24T02:00:04Z,01be0bcc83fb9b7ea55ab113c5986a30ea4b975b0ccf8b454c36e5313a3014c6,False
400862814:206143453,193773807,193761310,trade,Buy,GOLD,0.03,,4120.29,,,0.0,0.0,,16.98,,0,,400862814,A_main_trade,USD,2026-07-23T10:04:31+02:00,2026-07-23T10:04:31+02:00,2026-07-23T15:04:31+07:00,2026-07-23T15:04:31+07:00,2026-07-23,2026-07-23,,,,,,,MT5,69d579f3-bc6b-4cd8-ad05-ebc3ecc8720d,2026-07-24T02:00:04Z,05f245e50f2c1541619a52bd1a4cb5c43b8aad5bc100a8f49b7a4bcf08e945e0,False
400862814:206143454,193773813,193760530,trade,Buy,GOLD,0.03,,4120.29,,,0.0,0.0,,21.33,,0,,400862814,A_main_trade,USD,2026-07-23T10:04:31+02:00,2026-07-23T10:04:31+02:00,2026-07-23T15:04:31+07:00,2026-07-23T15:04:31+07:00,2026-07-23,2026-07-23,,,,,,,MT5,69d579f3-bc6b-4cd8-ad05-ebc3ecc8720d,2026-07-24T02:00:04Z,c7f296e9a6a772d0837b83d7163792c029968f0c39a1f71779687aeb91445326,False
400862814:206143455,193773821,193755525,trade,Buy,GOLD,0.03,,4120.29,,,0.0,0.0,,15.54,,0,,400862814,A_main_trade,USD,2026-07-23T10:04:31+02:00,2026-07-23T10:04:31+02:00,2026-07-23T15:04:31+07:00,2026-07-23T15:04:31+07:00,2026-07-23,2026-07-23,,,,,,,MT5,69d579f3-bc6b-4cd8-ad05-ebc3ecc8720d,2026-07-24T02:00:04Z,ea76f9efd63963d2d2f856683f7bfb750950b0e679fb8dd1ba75788709904615,False
400862814:206143456,193773811,193760549,trade,Buy,GOLD,0.03,,4120.29,,,0.0,0.0,,21.78,,0,,400862814,A_main_trade,USD,2026-07-23T10:04:31+02:00,2026-07-23T10:04:31+02:00,2026-07-23T15:04:31+07:00,2026-07-23T15:04:31+07:00,2026-07-23,2026-07-23,,,,,,,MT5,69d579f3-bc6b-4cd8-ad05-ebc3ecc8720d,2026-07-24T02:00:04Z,d5dafe85487209e5c8033d3a9cfb4ca06890b38c27279c13cc23384e7d29e30d,False
400862814:206143457,193773819,193755614,trade,Buy,GOLD,0.03,,4120.29,,,0.0,0.0,,15.87,,0,,400862814,A_main_trade,USD,2026-07-23T10:04:31+02:00,2026-07-23T10:04:31+02:00,2026-07-23T15:04:31+07:00,2026-07-23T15:04:31+07:00,2026-07-23,2026-07-23,,,,,,,MT5,69d579f3-bc6b-4cd8-ad05-ebc3ecc8720d,2026-07-24T02:00:04Z,1dfdc7a8f13bfc36b7c47f0dedf7500e568fcc2774fd3f5570f2affc7ac388cd,False
400862814:206143458,193773815,193760494,trade,Buy,GOLD,0.03,,4120.29,,,0.0,0.0,,21.48,,0,,400862814,A_main_trade,USD,2026-07-23T10:04:31+02:00,2026-07-23T10:04:31+02:00,2026-07-23T15:04:31+07:00,2026-07-23T15:04:31+07:00,2026-07-23,2026-07-23,,,,,,,MT5,69d579f3-bc6b-4cd8-ad05-ebc3ecc8720d,2026-07-24T02:00:04Z,9020fd5b00648c705daf55f11aa063d20b7861a9b4ce69a702895e5f36816c19,False
400862814:206143459,193773820,193755606,trade,Buy,GOLD,0.03,,4120.29,,,0.0,0.0,,15.78,,0,,400862814,A_main_trade,USD,2026-07-23T10:04:31+02:00,2026-07-23T10:04:31+02:00,2026-07-23T15:04:31+07:00,2026-07-23T15:04:31+07:00,2026-07-23,2026-07-23,,,,,,,MT5,69d579f3-bc6b-4cd8-ad05-ebc3ecc8720d,2026-07-24T02:00:04Z,e872f4d6974038f13c5d0b10345ae2cc6fe28dbdd24124ef4b5ad572232ef675,False
400862814:206143460,193773817,193759232,trade,Buy,GOLD,0.03,,4120.29,,,0.0,0.0,,14.55,,0,,400862814,A_main_trade,USD,2026-07-23T10:04:31+02:00,2026-07-23T10:04:31+02:00,2026-07-23T15:04:31+07:00,2026-07-23T15:04:31+07:00,2026-07-23,2026-07-23,,,,,,,MT5,69d579f3-bc6b-4cd8-ad05-ebc3ecc8720d,2026-07-24T02:00:04Z,02530a347745b5cfa6c2637563fc54a7383809f4aa8dfb617ef4b89f896b0ec7,False
400862814:206143461,193773816,193760476,trade,Buy,GOLD,0.03,,4120.29,,,0.0,0.0,,21.6,,0,,400862814,A_main_trade,USD,2026-07-23T10:04:31+02:00,2026-07-23T10:04:31+02:00,2026-07-23T15:04:31+07:00,2026-07-23T15:04:31+07:00,2026-07-23,2026-07-23,,,,,,,MT5,69d579f3-bc6b-4cd8-ad05-ebc3ecc8720d,2026-07-24T02:00:04Z,4d4f16698a2692ddbe81b6db096984b3702dbe581a6b5768e4fe51434ea42b97,False
400862814:206143462,193773818,193760409,trade,Buy,GOLD,0.03,,4120.29,,,0.0,0.0,,22.59,,0,,400862814,A_main_trade,USD,2026-07-23T10:04:31+02:00,2026-07-23T10:04:31+02:00,2026-07-23T15:04:31+07:00,2026-07-23T15:04:31+07:00,2026-07-23,2026-07-23,,,,,,,MT5,69d579f3-bc6b-4cd8-ad05-ebc3ecc8720d,2026-07-24T02:00:04Z,d45a4992e1f71e153be7b4b8dd8cace778ffef6e69f0523dea8324fa550018d4,False
400862814:206132078,193762772,193762772,trade,Sell,GOLD,0.03,,4128.51,,,0.0,0.0,,0.0,,0,,400862814,A_main_trade,USD,2026-07-23T09:26:11+02:00,2026-07-23T09:26:11+02:00,2026-07-23T14:26:11+07:00,2026-07-23T14:26:11+07:00,2026-07-23,2026-07-23,,,,,,,MT5,69d579f3-bc6b-4cd8-ad05-ebc3ecc8720d,2026-07-24T02:00:04Z,2143c34299f4311313dc633389f19cdd675366a07daff96333c5f7c784a8cb2f,False
400862814:206132076,193762770,193762770,trade,Sell,GOLD,0.03,,4128.48,,,0.0,0.0,,0.0,,0,,400862814,A_main_trade,USD,2026-07-23T09:26:10+02:00,2026-07-23T09:26:10+02:00,2026-07-23T14:26:10+07:00,2026-07-23T14:26:10+07:00,2026-07-23,2026-07-23,,,,,,,MT5,69d579f3-bc6b-4cd8-ad05-ebc3ecc8720d,2026-07-24T02:00:04Z,d29514094318cdea813b2760dfbd0e82c793d58d1f6c84a1ed6f810af4321c87,False
400862814:206130573,193761310,193761310,trade,Sell,GOLD,0.03,,4125.95,,,0.0,0.0,,0.0,,0,,400862814,A_main_trade,USD,2026-07-23T09:19:11+02:00,2026-07-23T09:19:11+02:00,2026-07-23T14:19:11+07:00,2026-07-23T14:19:11+07:00,2026-07-23,2026-07-23,,,,,,,MT5,69d579f3-bc6b-4cd8-ad05-ebc3ecc8720d,2026-07-24T02:00:04Z,fa00d23a0b85b2d41cca2af75b7a5cf92a79fd938f13a39a9ecc54484e968ac7,False
400862814:206130568,193761307,193761307,trade,Sell,GOLD,0.03,,4126.04,,,0.0,0.0,,0.0,,0,,400862814,A_main_trade,USD,2026-07-23T09:19:10+02:00,2026-07-23T09:19:10+02:00,2026-07-23T14:19:10+07:00,2026-07-23T14:19:10+07:00,2026-07-23,2026-07-23,,,,,,,MT5,69d579f3-bc6b-4cd8-ad05-ebc3ecc8720d,2026-07-24T02:00:04Z,23d562b3332352c39647088b0fec3cf763a50a449b0e75278e6996d6ab91d404,False
400862814:206130570,193761309,193761309,trade,Sell,GOLD,0.03,,4125.78,,,0.0,0.0,,0.0,,0,,400862814,A_main_trade,USD,2026-07-23T09:19:10+02:00,2026-07-23T09:19:10+02:00,2026-07-23T14:19:10+07:00,2026-07-23T14:19:10+07:00,2026-07-23,2026-07-23,,,,,,,MT5,69d579f3-bc6b-4cd8-ad05-ebc3ecc8720d,2026-07-24T02:00:04Z,eda154e464c1be66e89db9de25828f0699444b867ddd272b11e28004f9f5e901,False
400862814:206130031,193760799,193760799,trade,Sell,GOLD,0.03,,4126.24,,,0.0,0.0,,0.0,,0,,400862814,A_main_trade,USD,2026-07-23T09:17:26+02:00,2026-07-23T09:17:26+02:00,2026-07-23T14:17:26+07:00,2026-07-23T14:17:26+07:00,2026-07-23,2026-07-23,,,,,,,MT5,69d579f3-bc6b-4cd8-ad05-ebc3ecc8720d,2026-07-24T02:00:04Z,ce403d6ec62714cc89ee4f6a692354f9ec26b67c8771f0e35f3600cc882c7a96,False
